Name;Age;Nationality;Club;Value;Preferred Foot;Position;Jersey Number;BallControl;Acceleration;SprintSpeed;Agility;Aggression;Interceptions
L. Perdomo;21;Argentina;Gimnasia y Esgrima La Plata;€775K;Right;Centrocampista;38;64;55;58;80;56;75
M. Röser;27;Germany;Karlsruher SC;€575K;Right;Centrocampista;11;63;80;83;74;52;40
S. Roux;25;New Zealand;Melbourne Victory;€575K;Right;Lateral;2;61;71;78;73;58;57
Pol Valentín;21;Spain;Gimnàstic de Tarragona;€1.1M;Right;Lateral;23;61;91;92;78;59;60
Óscar Valentín;23;Spain;CF Rayo Majadahonda;€725K;Right;Centrocampista;6;68;64;64;63;71;64
H. Ruíz;31;Mexico;Tiburones Rojos de Veracruz;€475K;Right;Centrocampista;17;60;55;57;60;62;67
Kim Min Woo;28;Korea Republic;Sangju Sangmu FC;€550K;Left;Centrocampista;13;64;73;73;73;63;68
F. Kippe;40;Norway;Lillestrøm SK;€ 0;Left;Defensa;13;49;24;25;27;76;63
J. ?ezní?ek;30;Czech Republic;Viktoria Plze?;€525K;Right;Delantero;37;66;70;74;57;68;50
A. Al Zaqan;27;Saudi Arabia;Al Ittihad;€575K;Right;Centrocampista;25;66;85;83;77;39;17
G. Acampora;24;Italy;Spezia;€750K;Left;Centrocampista;29;68;64;57;58;54;62
L. Ferguson;18;Scotland;Aberdeen;€1.1M;Right;Centrocampista;19;68;73;72;76;60;55
R. Augustyniak;24;Poland;Mied? Legnica;€600K;Right;Centrocampista;6;61;65;67;62;66;63
A. Cannon;22;England;Rochdale;€825K;Right;Centrocampista;27;67;79;77;72;59;57
C. Woods;31;England;Preston North End;€350K;Right;Lateral;15;62;62;63;61;73;63
E. Sabbi;20;United States;Hobro IK;€950K;Right;Delantero;11;69;89;90;91;44;17
D. McCrory;28;Republic of Ireland;Burton Albion;€425K;Left;Lateral;14;59;67;62;71;65;59
T. Öztürk;28;Germany;KFC Uerdingen 05;€450K;Right;Centrocampista;26;60;54;48;53;65;61
De Los Reyes;26;Spain;UD Almería;€550K;Left;Lateral;11;66;75;77;67;63;58
O. García;25;Colombia;Jaguares de Córdoba;€650K;Right;Centrocampista;14;65;90;88;84;60;14
A. Batsula;26;Ukraine;KV Kortrijk;€525K;Left;Defensa;29;62;60;65;57;70;64
R. Kerschbaum;24;Austria;FC Wacker Innsbruck;€600K;Right;Centrocampista;8;63;67;68;63;63;60
N. Bakker;25;Netherlands;FC Emmen;€575K;Left;Defensa;4;55;69;67;45;59;63
Raphael Silva;26;Brazil;Boavista FC;€575K;Right;Defensa;3;41;52;51;40;67;63
L. Berry;25;England;Luton Town;€675K;Right;Centrocampista;8;64;75;74;77;61;58
Mauro Cerqueira;25;Portugal;CD Nacional;€550K;Left;Lateral;5;64;70;73;71;65;58
S. Bidaoui;28;Morocco;Spezia;€550K;Right;Centrocampista;26;70;82;73;82;49;30
Damià;22;Spain;RCD Espanyol;€625K;Right;Centrocampista;34;68;70;61;58;70;62
H. Jele;31;South Africa;Orlando Pirates;€375K;Right;Defensa;4;75;68;65;63;54;64
D. Jones;31;England;Notts County;€350K;Left;Lateral;23;58;78;87;72;61;58
G. Poussin;19;France;FC Girondins de Bordeaux;€950K;Right;Portero;16;17;17;25;22;21;10
R. Edwards;24;England;Plymouth Argyle;€600K;Right;Defensa;5;42;65;52;69;55;65
B. Finne;23;Norway;Vålerenga Fotball;€750K;Right;Centrocampista;11;69;79;76;83;49;21
N. Varela;27;Uruguay;Wis?a P?ock;€575K;Right;Centrocampista;7;67;77;80;73;75;27
R. Tarifeño;21;Chile;Audax Italiano;€950K;Right;Delantero;23;67;77;83;82;30;21
Bruno Gomes;21;Brazil;CD Aves;€875K;Right;Delantero;77;64;74;73;62;45;15
M. Dombrowka;26;Germany;SpVgg Unterhaching;€525K;Right;Lateral;8;62;73;76;74;53;59
N. Mezquida;26;Uruguay;Vancouver Whitecaps FC;€650K;Right;Centrocampista;11;68;72;55;84;48;38
M. Saadane;26;Morocco;Çaykur Rizespor;€550K;Right;Defensa;17;69;60;63;64;66;65
M. Fink;28;Slovenia;Çaykur Rizespor;€425K;Right;Lateral;27;60;65;61;60;55;62
B. Diaby;20;Spain;Sporting Lokeren;€775K;Right;Defensa;18;64;73;81;56;70;57
C. Elder;23;Australia;Leicester City;€650K;Left;Lateral;35;62;73;75;58;56;61
R. Ledson;20;England;Preston North End;€950K;Right;Centrocampista;18;63;62;61;68;82;52
M. Udol;22;France;FC Metz;€700K;Left;Lateral;3;62;76;73;69;78;61
A. Al Mutairi;32;Saudi Arabia;Al Fayha;€425K;Right;Centrocampista;10;65;64;57;78;42;19
P. Tschernegg;25;Austria;FC St. Gallen;€600K;Right;Centrocampista;26;58;55;55;62;69;62
J. Duque;27;Colombia;Boyacá Chicó FC;€500K;Left;Lateral;7;55;66;70;77;61;65
A. Katranis;20;Greece;Royal Excel Mouscron;€750K;Left;Lateral;3;63;72;72;67;70;61
Aloísio;20;Brazil;Clube Sport Marítimo;€775K;Right;Defensa;97;61;48;51;42;63;59
Evandro;30;Brazil;FC Seoul;€525K;Right;Delantero;11;62;72;76;69;53;42
G. Castillejos;32;Argentina;San Martín de San Juan;€425K;Right;Delantero;20;58;54;53;52;52;35
B. Renneke;25;Germany;VfL Osnabrück;€550K;Right;Lateral;7;68;79;75;82;52;57
K. van Veen;27;Netherlands;Northampton Town;€625K;Right;Delantero;10;67;52;53;62;47;19
N. Garmendia;20;Spain;Udinese;€925K;Right;Centrocampista;61;74;75;69;69;50;29
M. Birighitti;27;Australia;Melbourne City FC;€425K;Right;Portero;1;16;46;50;67;33;23
E. Alexander;30;United States;Houston Dynamo;€400K;Right;Centrocampista;6;65;60;63;64;65;60
F. Palacios Martínez;23;Spain;1. FC Nürnberg;€750K;Right;Delantero;21;73;78;68;91;51;24
Luis Ruiz;26;Spain;CD Lugo;€550K;Left;Lateral;15;60;70;73;56;58;65
A. Hunter;22;England;Fleetwood Town;€800K;Right;Centrocampista;22;66;76;73;75;30;28
L. Owusu;21;Netherlands;De Graafschap;€675K;Right;Centrocampista;44;60;80;82;72;72;55
J. Phojo;25;France;Clermont Foot 63;€525K;Right;Lateral;23;66;71;68;62;58;57
L. Rougeaux;24;France;KV Kortrijk;€575K;Right;Lateral;6;55;55;63;31;67;66
O. Fisher;26;Jamaica;DC United;€450K;Right;Lateral;91;64;78;76;82;72;62
A. Benchaib;20;Belgium;Sporting Lokeren;€925K;Right;Centrocampista;28;65;76;70;80;35;18
F. Fydriszewski;25;Argentina;Newell's Old Boys;€725K;Right;Delantero;9;70;50;54;48;54;34
T. Ndenge;21;Germany;FC Luzern;€725K;Left;Centrocampista;13;64;71;72;65;66;59
F. Flórez;25;Colombia;Alianza Petrolera;€650K;Right;Centrocampista;18;66;72;60;57;78;61
G. Risso Patrón;22;Argentina;Atlético Tucumán;€700K;Left;Lateral;33;60;74;71;65;56;64
T. Parkes;26;England;Carlisle United;€475K;Left;Defensa;6;55;54;61;52;75;56
J. Untersee;24;Switzerland;Empoli;€750K;Right;Centrocampista;27;64;68;68;68;46;57
D. Gabriele;23;Germany;FC Wacker Innsbruck;€750K;Right;Centrocampista;21;67;75;74;81;42;20
M. Mbaye;22;Senegal;Carpi;€775K;Right;Centrocampista;24;71;70;74;67;67;60
S. Lovric;20;Austria;SK Sturm Graz;€850K;Right;Centrocampista;8;64;54;41;59;64;64
C. Kerr;22;Scotland;Dundee FC;€675K;Right;Lateral;2;63;81;79;75;50;56
G. Zelalem;21;United States;Arsenal;€875K;Right;Centrocampista;60;70;65;56;65;40;38
Song Boxuan;28;China PR;Tianjin Quanjian FC;€550K;Left;Centrocampista;30;60;78;73;70;45;23
Ronan;23;Brazil;Rio Ave FC;€750K;Right;Delantero;19;64;30;32;40;57;20
A. Gruber;23;Austria;SV Mattersburg;€750K;Left;Centrocampista;11;61;73;75;73;53;21
T. Nowak;32;Poland;Zag??bie Sosnowiec;€425K;Left;Centrocampista;6;67;70;73;78;59;63
S. Salviato;30;Italy;Padova;€400K;Right;Lateral;33;55;70;72;63;69;61
G. Aguirre;22;Mexico;Club Atlas;€675K;Right;Defensa;5;60;74;70;67;63;61
G. Rojas;21;Argentina;San Lorenzo de Almagro;€850K;Left;Lateral;27;65;70;77;78;61;62
I. Openda;18;Belgium;Club Brugge KV;€1.1M;Right;Delantero;80;59;89;86;65;33;16
R. Wallace;30;Costa Rica;New York City FC;€500K;Left;Centrocampista;23;58;77;74;72;66;60
J. Jervis;26;England;AFC Wimbledon;€650K;Right;Delantero;10;63;89;85;69;55;24
S. O'Neill;24;United States;Orlando City SC;€625K;Right;Defensa;12;62;59;67;53;67;62
J. Butez;23;France;Royal Excel Mouscron;€550K;Right;Portero;33;20;49;40;37;21;17
Raul Asencio;20;Spain;Benevento;€1.1M;Right;Delantero;29;63;70;73;69;42;25
T. Ho?ota;27;Poland;Pogo? Szczecin;€450K;Right;Centrocampista;20;62;62;59;54;66;63
G. Paquiez;24;France;Nîmes Olympique;€575K;Left;Lateral;15;54;69;74;64;60;66
F. Costa;26;Argentina;San Martin de Tucumán;€575K;Left;Centrocampista;11;63;72;70;85;33;23
N. Aankour;24;Morocco;Arka Gdynia;€675K;Right;Centrocampista;9;68;80;82;80;52;48
Erik Expósito;22;Spain;Córdoba CF;€875K;Left;Delantero;29;65;61;63;62;25;29
J. Donisa;24;France;Red Star FC;€750K;Right;Delantero;27;63;73;74;64;30;29
Choi Kyu Baek;24;Korea Republic;V-Varen Nagasaki;€625K;Right;Defensa;39;45;66;70;58;43;69
M. Rojas;22;Paraguay;Defensa y Justicia;€775K;Left;Centrocampista;26;69;69;80;74;30;34
Pedro Silva;21;Portugal;CD Tondela;€775K;Right;Portero;28;16;29;30;30;28;8
M. Giannikoglou;25;Greece;AEK Athens;€500K;Right;Portero;40;11;27;33;60;41;8
J. Hanson;22;England;Oxford United;€825K;Right;Centrocampista;6;59;55;62;60;78;61
V. Demidov;31;Norway;Stabæk Fotball;€375K;Right;Defensa;4;44;37;36;52;73;66
G. Rehak;25;Argentina;Independiente;€525K;Right;Portero;33;18;32;31;34;20;12
K. Bare;20;Albania;Málaga CF;€850K;Right;Centrocampista;35;62;70;65;66;59;52
Paulo Otávio;23;Brazil;FC Ingolstadt 04;€650K;Left;Lateral;6;67;79;76;82;57;60
N. Oroz;24;Argentina;CD O'Higgins;€725K;Left;Centrocampista;8;69;75;77;81;45;58
A. Walongwa;24;Congo;FC Nantes;€550K;Right;Defensa;26;56;53;50;51;67;63
T. Moore;20;England;Plymouth Argyle;€650K;Right;Lateral;22;58;80;84;73;60;62
R. Yamanaka;25;Japan;Yokohama F. Marinos;€600K;Left;Lateral;24;61;67;70;66;49;59
E. Hamilton;19;Scotland;Manchester United;€1M;Left;Centrocampista;48;65;60;55;62;70;59
R. Salinas;31;Argentina;Vélez Sarsfield;€475K;Left;Delantero;9;63;39;52;51;63;26
S. Zwierschitz;27;Austria;FC Admira Wacker Mödling;€450K;Right;Lateral;8;55;69;69;64;63;64
J. Vickers;22;England;Lincoln City;€675K;Right;Portero;1;21;40;45;36;25;22
C. Gribbin;19;England;Manchester United;€1.2M;Left;Centrocampista;42;67;70;68;62;50;42
A. Stewart;25;England;Wycombe Wanderers;€575K;Right;Defensa;5;48;59;59;66;66;62
S. Tronstad;22;Norway;FK Haugesund;€675K;Right;Centrocampista;8;65;67;67;76;64;63
A. Castro;31;Mexico;Santos Laguna;€375K;Right;Centrocampista;20;62;47;37;52;65;64
C. Chaplin;21;England;Coventry City;€875K;Left;Delantero;10;62;85;80;87;45;30
D. O'Dea;31;Republic of Ireland;Dundee FC;€375K;Left;Defensa;6;52;31;42;39;74;64
N. Bandiera;28;Argentina;Curicó Unido;€550K;Right;Centrocampista;33;66;76;76;81;25;17
A. Figueroa;30;Colombia;Millonarios FC;€400K;Right;Defensa;2;53;62;62;65;71;66
J. Sternberg;25;Germany;1. FC Kaiserslautern;€550K;Left;Lateral;3;61;73;72;68;68;62
M. Blázquez;27;Chile;Deportes Iquique;€500K;Right;Defensa;3;45;48;53;45;62;61
K. Grant;20;England;Charlton Athletic;€1.1M;Right;Delantero;18;63;86;88;71;35;25
A. Al Zain;26;Saudi Arabia;Al Qadisiyah;€575K;Right;Centrocampista;49;65;78;77;77;63;45
Hwang Il Soo;30;Korea Republic;Ulsan Hyundai FC;€525K;Right;Delantero;11;67;90;89;82;35;51
T. Fountas;22;Greece;SKN St. Pölten;€725K;Right;Delantero;9;66;77;76;84;70;56
N. Quaschner;24;Germany;DSC Arminia Bielefeld;€700K;Right;Centrocampista;18;64;79;82;66;67;28
G. Sepúlveda;29;Chile;San Luis de Quillota;€425K;Right;Centrocampista;17;52;39;33;59;72;71
R. Aponzá;29;Colombia;Jaguares de Córdoba;€525K;Right;Centrocampista;16;63;77;75;72;36;19
Lei Tenglong;27;China PR;Beijing Sinobo Guoan FC;€525K;Right;Defensa;30;45;69;72;60;65;63
S. Lo Faso;20;Italy;Palermo;€1.2M;Right;Delantero;15;67;78;75;70;45;23
João Reis;26;Portugal;CD Tondela;€550K;Left;Lateral;17;55;75;59;80;55;52
G. Nijholt;28;Netherlands;NAC Breda;€450K;Left;Centrocampista;28;69;53;49;64;66;63
S. Conneely;29;Republic of Ireland;Accrington Stanley;€425K;Right;Centrocampista;28;60;68;65;72;64;64
K. Conboy;30;Denmark;Randers FC;€400K;Left;Lateral;17;61;67;67;69;75;61
C. Nelson;25;England;Oxford United;€650K;Right;Defensa;5;49;77;66;71;63;56
S. Brown;33;England;Port Vale;€270K;Right;Portero;1;23;52;50;63;27;24
Kwak Hae Seong;26;Korea Republic;Incheon United FC;€525K;Right;Lateral;26;62;68;70;70;68;63
M. Caranta;39;Argentina;Club Atlético Talleres;€40K;Right;Portero;1;14;45;51;49;32;24
D. Bassi;33;Italy;Spezia;€270K;Right;Portero;30;21;40;34;49;34;20
J. Kempin;25;United States;Columbus Crew SC;€450K;Right;Portero;24;18;58;56;38;34;22
Álvaro Traver;25;Spain;Real Sporting de Gijón;€675K;Right;Centrocampista;21;67;68;74;58;47;26
F. Brustad;29;Norway;Hamilton Academical FC;€550K;Right;Delantero;31;62;83;92;65;50;38
E. O'Connell;22;Republic of Ireland;Bury;€625K;Right;Defensa;6;59;59;58;61;84;60
S. Floranus;19;Netherlands;SC Heerenveen;€700K;Right;Lateral;2;63;84;85;80;66;64
Dani Suárez;28;Spain;Górnik Zabrze;€450K;Right;Defensa;15;48;52;57;52;65;56
S. Olsson;20;Sweden;IF Elfsborg;€875K;Right;Centrocampista;18;74;64;59;60;64;51
O. Verdon;22;Benin;FC Sochaux-Montbéliard;€650K;Right;Defensa;5;41;52;51;44;58;62
T. Brown;27;Wales;Exeter City;€450K;Right;Defensa;39;48;60;67;71;61;60
S. Ibeagha;26;Nigeria;New York City FC;€600K;Right;Defensa;33;44;73;73;38;61;55
G. Modica;27;Argentina;SV Wehen Wiesbaden;€525K;Right;Defensa;6;47;63;51;55;70;67
A. Pavlovi?;24;Serbia;SK Rapid Wien;€725K;Left;Delantero;22;66;65;68;63;43;22
M. Sylla;18;France;AS Monaco;€1.1M;Right;Delantero;34;64;74;78;70;45;16
K. Guédé;33;Slovakia;SV Sandhausen;€350K;Right;Delantero;21;52;50;50;36;85;59
A. Østbø;27;Norway;Rosenborg BK;€475K;Right;Portero;24;13;21;23;57;27;25
J. Mills;28;England;Forest Green Rovers;€425K;Left;Lateral;23;60;81;74;74;61;60
W. Marinus;23;Netherlands;FC Emmen;€725K;Right;Centrocampista;7;62;74;71;69;44;30
S. Al Jaman;24;Saudi Arabia;Al Wehda;€675K;Right;Centrocampista;15;65;79;81;76;33;17
I. Koneh;23;Cameroon;Boavista FC;€725K;Right;Centrocampista;19;73;86;85;75;30;14
A. Leautey;22;France;Chamois Niortais Football Club;€800K;Right;Centrocampista;12;61;82;87;83;42;18
T. Børven;26;Norway;Odds BK;€650K;Right;Delantero;22;65;73;69;74;34;22
L. Nielsen;31;Denmark;Trelleborgs FF;€375K;Right;Defensa;15;42;49;58;42;59;59
Bruno Andrade;24;Portugal;Lincoln City;€675K;Right;Centrocampista;11;63;84;81;86;48;32
V. Jacob;24;France;Chamois Niortais Football Club;€725K;Right;Centrocampista;18;66;60;65;74;36;42
R. Lacazette;24;France;TSV 1860 München;€625K;Right;Centrocampista;38;64;74;73;72;82;64
T. Nishino;24;Japan;Gamba Osaka;€625K;Right;Defensa;2;55;61;62;35;59;61
D. Sosa;20;Argentina;Club Atlético Tigre;€650K;Left;Lateral;29;69;68;67;65;59;59
D. Kyereh;22;Ghana;SV Wehen Wiesbaden;€775K;Right;Delantero;17;64;86;84;79;44;19
I. Ouédraogo;29;Burkina Faso;SKN St. Pölten;€550K;Right;Delantero;33;69;80;84;75;58;14
A. Smith-Brown;22;England;Plymouth Argyle;€700K;Right;Lateral;23;65;79;84;75;59;58
D. Atanga;21;Ghana;SpVgg Greuther Fürth;€850K;Left;Centrocampista;20;62;88;91;81;55;38
R. Ogawa;21;Japan;FC Tokyo;€650K;Left;Lateral;25;59;81;75;73;61;64
Olabe;22;Spain;Extremadura UD;€850K;Right;Centrocampista;11;71;65;62;59;44;37
A. Skov Olsen;18;Denmark;FC Nordsjælland;€1.1M;Left;Centrocampista;21;65;79;79;73;48;24
W. Golla;26;Poland;?l?sk Wroc?aw;€550K;Right;Defensa;14;57;55;59;63;70;62
A. Çeviker;28;Turkey;Akhisar Belediyespor;€500K;Right;Centrocampista;6;62;52;56;61;59;63
Chumi;19;Spain;FC Barcelona;€1M;Right;Defensa;36;60;57;61;49;55;62
M. Ahlschwede;28;Germany;FC Würzburger Kickers;€450K;Right;Defensa;33;53;68;74;61;63;62
R. Dadashov;26;Azerbaijan;SC Preußen Münster;€650K;Right;Delantero;9;60;57;61;43;63;20
D. Rodríguez;22;Argentina;Belgrano de Córdoba;€850K;Right;Centrocampista;30;68;71;68;72;61;51
A. Gerrard;32;Republic of Ireland;Carlisle United;€300K;Right;Defensa;5;45;33;37;48;83;61
O. Franco;25;Paraguay;Rionegro Águilas;€700K;Right;Delantero;13;63;46;49;54;47;15
G. Liddle;32;England;Carlisle United;€300K;Right;Defensa;4;64;49;48;70;75;65
C. Paredes;20;Paraguay;Portland Timbers;€1.2M;Right;Centrocampista;22;63;67;66;63;64;59
M. Ogasawara;39;Japan;Kashima Antlers;€40K;Right;Centrocampista;40;70;32;31;57;74;66
L. O'Nien;23;England;Sunderland;€700K;Right;Centrocampista;13;66;73;74;71;60;60
Einar Galilea;24;Spain;FC Sochaux-Montbéliard;€675K;Left;Defensa;8;49;57;56;59;74;60
F. Tingager;25;Denmark;Eintracht Braunschweig;€600K;Right;Defensa;3;56;50;53;30;51;56
R. Reid;29;England;Forest Green Rovers;€550K;Right;Delantero;26;58;78;81;62;67;35
V. Supriaga;18;Ukraine;Dynamo Kyiv;€1.1M;Right;Delantero;89;71;80;81;73;27;16
C. Starfelt;23;Sweden;IFK Göteborg;€625K;Right;Defensa;4;45;68;70;55;67;60
R. Boukari;31;Togo;La Berrichonne de Châteauroux;€475K;Right;Centrocampista;11;65;78;76;67;59;23
E. Vandenabeele;26;France;Grenoble Foot 38;€550K;Right;Defensa;4;45;57;59;48;70;61
D. Fox;34;England;Plymouth Argyle;€160K;Right;Centrocampista;8;66;60;44;67;45;64
D. Boldor;23;Romania;Foggia;€600K;Left;Defensa;27;52;36;45;34;68;63
S. Narazaki;42;Japan;Nagoya Grampus;€40K;Right;Portero;1;30;52;56;55;30;14
N. Brock-Madsen;25;Denmark;Birmingham City;€700K;Right;Delantero;39;62;60;65;52;56;25
K. Boto;22;France;AJ Auxerre;€800K;Left;Lateral;13;61;69;69;58;50;60
J. Bothroyd;36;England;Hokkaido Consadole Sapporo;€190K;Left;Delantero;48;70;26;31;37;67;19
J. S?owik;26;Poland;?l?sk Wroc?aw;€450K;Right;Portero;27;10;46;32;34;24;16
L. Norris;25;England;Colchester United;€650K;Right;Delantero;9;58;64;64;61;52;22
D. Schmidt;26;Netherlands;SC Heerenveen;€525K;Right;Lateral;12;62;54;51;60;74;69
A. Longhi;29;Italy;Brescia;€400K;Left;Lateral;33;63;69;73;64;63;62
D. Dziwniel;25;Poland;Zag??bie Lubin;€550K;Left;Lateral;23;63;73;74;72;53;62
G. Fechner;20;Germany;1. FC Kaiserslautern;€850K;Right;Centrocampista;8;65;66;65;64;66;64
T. Diagouraga;31;France;Swindon Town;€475K;Right;Centrocampista;20;65;67;62;54;62;69
Yoon Bit Garam;28;Korea Republic;Sangju Sangmu FC;€525K;Right;Centrocampista;14;61;73;76;72;70;64
J. Maja;19;England;Sunderland;€1.2M;Right;Delantero;20;60;74;78;59;38;14
O. Cissé;27;Mali;Milton Keynes Dons;€500K;Left;Centrocampista;6;65;51;46;33;73;65
A. Butler;34;England;Doncaster Rovers;€160K;Left;Defensa;6;52;42;35;54;70;60
O. Marciano;28;Israel;Hibernian;€450K;Right;Portero;1;17;40;44;33;19;16
H. Kadish;25;Saudi Arabia;Al Hilal;€550K;Left;Lateral;13;62;74;74;74;61;59
J. Allen;23;England;Burton Albion;€825K;Right;Centrocampista;4;60;77;78;70;70;55
G. Melkadze;21;Russia;Spartak Moscow;€850K;Right;Centrocampista;37;65;75;73;72;81;45
K. Hashimoto;24;Japan;FC Tokyo;€700K;Right;Centrocampista;18;64;70;70;67;61;65
Hu Rentian;27;China PR;Hebei China Fortune FC;€575K;Right;Centrocampista;20;64;77;84;61;68;48
C. Pickel;21;Switzerland;Neuchâtel Xamax;€1.1M;Right;Centrocampista;6;68;68;71;61;70;60
S. Chukwueze;19;Nigeria;Villarreal CF;€1.2M;Left;Delantero;30;69;86;83;80;39;15
D. Andrew;27;England;Doncaster Rovers;€450K;Left;Lateral;3;60;72;69;64;50;59
A. Kofler;31;Austria;Wolfsberger AC;€325K;Right;Portero;31;19;48;47;32;18;9
T. Walker;21;England;Mansfield Town;€875K;Right;Delantero;19;66;80;86;85;32;31
N. Venema;19;Netherlands;FC Utrecht;€950K;Right;Delantero;29;56;72;70;60;30;17
R. Sufyani;31;Saudi Arabia;Al Taawoun;€475K;Left;Centrocampista;7;65;69;71;78;52;34
J. Borring;33;Denmark;AC Horsens;€325K;Left;Centrocampista;21;64;66;72;53;60;41
N. Nyauza;28;South Africa;Orlando Pirates;€425K;Right;Lateral;2;67;77;74;74;39;66
Marcelo Vildeia;34;Brazil;Grêmio;€280K;Right;Delantero;20;62;81;87;77;41;38
V. Janelt;20;Germany;VfL Bochum 1848;€925K;Left;Centrocampista;20;68;65;54;66;68;67
L. Nieuwpoort;23;Netherlands;De Graafschap;€600K;Left;Defensa;4;57;65;67;66;63;65
Hu Jinghang;21;China PR;Henan Jianye FC;€825K;Right;Delantero;39;59;81;72;76;76;10
Aguado;22;Spain;Córdoba CF;€900K;Right;Centrocampista;37;69;58;59;52;44;44
A. Raineau;32;France;La Berrichonne de Châteauroux;€300K;Left;Lateral;20;65;54;63;65;67;63
S. Mölders;33;Germany;TSV 1860 München;€350K;Left;Delantero;9;53;57;54;41;81;39
C. Mackail-Smith;34;Scotland;Wycombe Wanderers;€280K;Right;Delantero;9;60;71;69;72;70;52
A. Power;30;Republic of Ireland;Kilmarnock;€400K;Right;Centrocampista;6;64;55;43;72;80;50
A. Sabbione;26;Italy;Carpi;€625K;Right;Centrocampista;4;69;61;68;65;70;61
D. Tadi?;28;Austria;TSV Hartberg;€550K;Right;Delantero;24;65;74;76;72;61;44
G. Karlen;25;Switzerland;Neuchâtel Xamax;€700K;Right;Delantero;11;59;69;74;61;57;35
K. Jackson;24;England;Ipswich Town;€700K;Right;Delantero;9;60;90;90;73;44;23
G. Zakuani;32;DR Congo;Gillingham;€300K;Right;Defensa;6;43;77;70;75;63;58
J. Mezú;28;Colombia;Jaguares de Córdoba;€550K;Right;Centrocampista;10;59;84;81;84;48;38
A. Verschueren;21;Belgium;NAC Breda;€600K;Right;Centrocampista;6;64;66;66;72;62;66
K. Miyahara;22;Japan;Nagoya Grampus;€700K;Right;Lateral;6;60;71;72;71;68;71
Nito Carbelho;26;Brazil;Fluminense;€600K;Right;Delantero;18;62;73;74;72;55;37
N. Manzambi;21;Switzerland;Real Sporting de Gijón;€1.2M;Right;Delantero;29;67;73;77;86;32;13
A. Ferdinand;33;England;St. Mirren;€220K;Right;Defensa;35;46;55;55;60;67;63
B. Pringle;29;England;Grimsby Town;€525K;Left;Centrocampista;30;65;64;57;75;66;54
D. Boysen;27;Denmark;IF Elfsborg;€575K;Right;Centrocampista;21;65;83;80;82;69;31
G. Kusunga;30;Angola;Dundee FC;€400K;Right;Defensa;5;56;64;64;63;66;64
A. Tshibola;23;DR Congo;Kilmarnock;€700K;Right;Centrocampista;27;68;64;69;77;73;67
C. Jopia;26;Chile;CD Huachipato;€525K;Left;Lateral;14;65;75;74;66;57;58
Francisco Júnior;26;Guinea Bissau;Strømsgodset IF;€650K;Right;Centrocampista;19;69;75;70;82;78;67
M. Fox;24;Wales;Sheffield Wednesday;€575K;Left;Lateral;6;63;66;61;56;59;63
A. Hanche-Olsen;21;Norway;Stabæk Fotball;€700K;Right;Defensa;16;53;63;68;57;67;65
J. Welsh;34;England;Grimsby Town;€160K;Right;Centrocampista;4;62;31;34;41;80;66
U. Garcia;22;Switzerland;BSC Young Boys;€650K;Left;Lateral;21;65;65;75;63;61;62
Gao Zhunyi;22;China PR;Hebei China Fortune FC;€725K;Right;Defensa;33;56;63;65;73;55;64
M. Hildebrandt;29;United States;Atlanta United;€425K;Right;Portero;27;14;39;37;28;44;12
J. O'Shea;29;Republic of Ireland;Bury;€525K;Right;Centrocampista;26;64;61;66;77;59;35
J. Thomassen;25;Netherlands;De Graafschap;€700K;Right;Delantero;19;62;63;69;68;56;11
B. Shea;28;United States;Vancouver Whitecaps FC;€550K;Left;Centrocampista;20;65;67;72;79;75;63
J. Gleeson;28;New Zealand;Portland Timbers;€425K;Right;Portero;90;17;37;42;36;35;15
M. Akça;27;Turkey;Yeni Malatyaspor;€450K;Right;Defensa;28;55;66;68;56;65;63
S. Romero;29;Colombia;Atlético Bucaramanga;€550K;Right;Delantero;11;70;79;67;66;38;34
D. Mirfin;33;England;Mansfield Town;€220K;Right;Defensa;18;46;41;32;29;63;66
C. Martinez;21;Panama;Columbus Crew SC;€725K;Right;Centrocampista;18;62;81;78;77;60;42
M. Nichols;29;Australia;Wellington Phoenix;€525K;Right;Centrocampista;8;65;67;69;68;69;59
A. Borysiuk;26;Poland;Lechia Gda?sk;€550K;Right;Centrocampista;16;63;68;65;72;72;65
B. Cargill;22;England;Milton Keynes Dons;€825K;Left;Defensa;26;54;63;55;59;58;60
R. Shindo;22;Japan;Hokkaido Consadole Sapporo;€625K;Right;Defensa;35;39;66;68;69;75;67
Y. Adli;17;France;Paris Saint-Germain;€1.1M;Right;Centrocampista;29;72;62;61;65;53;51
G. Gigliotti;28;France;US Salernitana 1919;€500K;Left;Defensa;40;59;73;65;63;73;61
M. Benning;24;England;Mansfield Town;€575K;Left;Centrocampista;3;61;74;75;76;64;62
F. Ananou;20;Germany;FC Ingolstadt 04;€725K;Right;Lateral;2;58;76;73;68;67;63
M. Scavone;31;Italy;Lecce;€475K;Left;Centrocampista;30;71;74;70;83;55;50
U. Antuna;20;Mexico;FC Groningen;€875K;Right;Centrocampista;14;65;78;78;93;40;35
G. Carpani;24;Italy;Ascoli;€700K;Right;Centrocampista;8;66;67;71;67;63;55
Bae Seul Gi;33;Korea Republic;Pohang Steelers;€220K;Right;Defensa;24;45;51;34;31;75;65
P. Nymann;35;Denmark;AC Horsens;€120K;Right;Centrocampista;11;63;71;72;64;65;60
R. Ramírez;21;Argentina;Godoy Cruz;€675K;Right;Portero;1;23;44;49;31;22;18
